date/time: .03/05/2018.12:36 p.m.
Run 1

time	V
25.619000	6.502017E+0
25.620000	6.502017E+0
25.621000	6.512065E+0
25.622000	6.512065E+0
25.623000	6.534674E+0
25.624000	6.542210E+0
25.625000	6.532162E+0
25.626000	6.532162E+0
25.627000	6.532162E+0
25.628000	6.534674E+0
25.629000	6.532162E+0
25.630000	6.534674E+0
25.631000	6.532162E+0
25.632000	6.529649E+0
25.633000	6.509553E+0
25.634000	6.502017E+0
25.635000	6.507041E+0
25.636000	6.517089E+0
25.637000	6.514577E+0
25.638000	6.512065E+0
25.639000	6.529649E+0
25.640000	6.534674E+0
25.641000	6.529649E+0
25.642000	6.529649E+0
25.643000	6.542210E+0
25.644000	6.542210E+0
25.645000	6.542210E+0
25.646000	6.537186E+0
25.647000	6.544722E+0
25.648000	6.532162E+0
25.649000	6.524625E+0
25.650000	6.509553E+0
25.651000	6.509553E+0
25.652000	6.507041E+0
25.653000	6.502017E+0
25.654000	6.491968E+0
25.655000	6.489456E+0
25.656000	6.491968E+0
25.657000	6.489456E+0
25.658000	6.491968E+0
25.659000	6.507041E+0
25.660000	6.524625E+0
25.661000	6.524625E+0
25.662000	6.524625E+0
25.663000	6.539698E+0
25.664000	6.552258E+0
25.665000	6.554770E+0
25.666000	6.552258E+0
25.667000	6.562306E+0
25.668000	6.552258E+0
